r1,r2,r3,location
-46,-58,-68,CAD LAB
-45,-59,-68,CAD LAB
-47,-60,-70,CAD LAB
-46,-59,-68,CAD LAB
-43,-60,-69,CAD LAB
-65,-43,-73,STAIR CASE UP
-64,-43,-73,STAIR CASE UP
-68,-44,-70,STAIR CASE UP
-64,-44,-74,STAIR CASE UP
-67,-44,-73,STAIR CASE UP
-73,-49,-68,STAIR CASE DOWN
-74,-49,-65,STAIR CASE DOWN
-70,-50,-65,STAIR CASE DOWN
-71,-46,-67,STAIR CASE DOWN
-71,-47,-65,STAIR CASE DOWN
-71,-66,-74,TOILET
-72,-64,-73,TOILET
-71,-63,-71,TOILET
-72,-63,-73,TOILET
-72,-64,-73,TOILET
-37,-76,-53,CLASSROOM 203
-36,-78,-54,CLASSROOM 203
-36,-76,-54,CLASSROOM 203
-36,-77,-56,CLASSROOM 203
-37,-77,-55,CLASSROOM 203
-36,-88,-60,CLASSROOM 204
-34,-89,-62,CLASSROOM 204
-34,-90,-62,CLASSROOM 204
-36,-88,-62,CLASSROOM 204
-35,-86,-64,CLASSROOM 204
-31,-91,-51,WEB PROGRAMMING LAB
-29,-91,-51,WEB PROGRAMMING LAB
-32,-89,-49,WEB PROGRAMMING LAB
-30,-88,-49,WEB PROGRAMMING LAB
-29,-92,-51,WEB PROGRAMMING LAB
-32,-84,-53,DATA STRUCTURE LAB
-35,-83,-54,DATA STRUCTURE LAB
-32,-87,-55,DATA STRUCTURE LAB
-33,-84,-54,DATA STRUCTURE LAB
-31,-83,-53,DATA STRUCTURE LAB
-37,-81,-59,PROJECT LAB
-36,-81,-57,PROJECT LAB
-38,-81,-58,PROJECT LAB
-35,-83,-57,PROJECT LAB
-37,-80,-56,PROJECT LAB
-57,-71,-42,LIFT
-53,-74,-46,LIFT
-54,-73,-43,LIFT
-56,-74,-44,LIFT
-54,-72,-45,LIFT
-49,-70,-65,PLACEMENT OFFICE
-49,-70,-64,PLACEMENT OFFICE
-50,-72,-64,PLACEMENT OFFICE
-52,-68,-67,PLACEMENT OFFICE
-50,-71,-67,PLACEMENT OFFICE
-82,-72,-61,WASHROOM
-81,-72,-58,WASHROOM
-81,-71,-61,WASHROOM
-79,-72,-58,WASHROOM
-81,-69,-60,WASHROOM
-62,-63,-60,PATHWAY
-60,-64,-63,PATHWAY
-62,-64,-60,PATHWAY
-64,-62,-60,PATHWAY
-61,-61,-63,PATHWAY
-60,-46,-91,SLOPE UP
-60,-48,-88,SLOPE UP
-60,-46,-92,SLOPE UP
-58,-46,-89,SLOPE UP
-58,-50,-88,SLOPE UP
-52,-92,-45,SLOPE DOWN
-51,-92,-45,SLOPE DOWN
-52,-89,-47,SLOPE DOWN
-51,-91,-44,SLOPE DOWN
-52,-88,-44,SLOPE DOWN
-49,-79,-87,STAFFS LIFT
-48,-80,-88,STAFFS LIFT
-51,-82,-88,STAFFS LIFT
-49,-81,-87,STAFFS LIFT
-48,-78,-87,STAFFS LIFT
-88,-80,-47,FACULTY
-88,-79,-47,FACULTY
-89,-78,-48,FACULTY
-88,-78,-46,FACULTY
-88,-76,-50,FACULTY
-78,-56,-72,STAIRCASE UP LEFT
-81,-54,-69,STAIRCASE UP LEFT
-78,-56,-69,STAIRCASE UP LEFT
-79,-54,-72,STAIRCASE UP LEFT
-82,-55,-71,STAIRCASE UP LEFT
-74,-59,-72,STAIRCASE DOWN LEFT
-73,-58,-71,STAIRCASE DOWN LEFT
-73,-56,-72,STAIRCASE DOWN LEFT
-74,-56,-72,STAIRCASE DOWN LEFT
-75,-57,-72,STAIRCASE DOWN LEFT
-70,-64,-73,TOILET LEFT
-72,-65,-72,TOILET LEFT
-72,-62,-73,TOILET LEFT
-71,-65,-71,TOILET LEFT
-70,-62,-70,TOILET LEFT
-58,-72,-82,BOARD ROOM
-61,-72,-81,BOARD ROOM
-60,-73,-80,BOARD ROOM
-62,-70,-81,BOARD ROOM
-60,-74,-82,BOARD ROOM
-83,-55,-66,LAB 1
-84,-57,-67,LAB 1
-83,-55,-64,LAB 1
-84,-54,-65,LAB 1
-86,-57,-65,LAB 1
-86,-52,-64,LAB 2
-86,-49,-64,LAB 2
-85,-52,-63,LAB 2
-88,-48,-62,LAB 2
-89,-51,-64,LAB 2
-80,-52,-66,LAB 3
-80,-51,-69,LAB 3
-80,-52,-67,LAB 3
-81,-53,-66,LAB 3
-81,-53,-66,LAB 3
-38,-77,-78,LAB 4
-42,-76,-81,LAB 4
-40,-77,-81,LAB 4
-41,-76,-78,LAB 4
-42,-76,-82,LAB 4
-41,-76,-80,LAB 5
-41,-77,-84,LAB 5
-43,-77,-82,LAB 5
-41,-79,-83,LAB 5
-42,-75,-83,LAB 5
-37,-75,-76,LAB 6
-39,-74,-78,LAB 6
-39,-75,-80,LAB 6
-39,-73,-76,LAB 6
-36,-73,-77,LAB 6
-37,-69,-85,LAB 7
-34,-70,-83,LAB 7
-33,-69,-84,LAB 7
-37,-68,-87,LAB 7
-34,-70,-83,LAB 7
-37,-74,-85,LAB 8
-38,-70,-81,LAB 8
-39,-72,-81,LAB 8
-39,-73,-82,LAB 8
-35,-71,-83,LAB 8
-57,-54,-55,CORRIDOR TOP LEFT
-55,-58,-55,CORRIDOR TOP LEFT
-56,-55,-56,CORRIDOR TOP LEFT
-56,-58,-57,CORRIDOR TOP LEFT
-56,-55,-55,CORRIDOR TOP LEFT
-45,-44,-43,CORRIDOR TOP RIGHT
-47,-44,-47,CORRIDOR TOP RIGHT
-45,-45,-45,CORRIDOR TOP RIGHT
-47,-44,-43,CORRIDOR TOP RIGHT
-47,-43,-44,CORRIDOR TOP RIGHT
-59,-62,-61,CORRIDOR MAIN
-58,-60,-58,CORRIDOR MAIN
-59,-59,-62,CORRIDOR MAIN
-61,-60,-58,CORRIDOR MAIN
-61,-60,-59,CORRIDOR MAIN
