r1,r2,r3,location
-44,-64,-68,GIRLS COMMON ROOM
-43,-63,-69,GIRLS COMMON ROOM
-44,-60,-70,GIRLS COMMON ROOM
-40,-61,-70,GIRLS COMMON ROOM
-44,-64,-69,GIRLS COMMON ROOM
-61,-43,-73,CLASSROOM 101
-62,-43,-76,CLASSROOM 101
-58,-44,-76,CLASSROOM 101
-59,-43,-75,CLASSROOM 101
-62,-46,-74,CLASSROOM 101
-66,-44,-73,STAIR CASE UP
-67,-44,-74,STAIR CASE UP
-68,-43,-74,STAIR CASE UP
-66,-44,-70,STAIR CASE UP
-66,-46,-71,STAIR CASE UP
-70,-50,-65,STAIR CASE DOWN
-74,-46,-66,STAIR CASE DOWN
-70,-48,-64,STAIR CASE DOWN
-73,-50,-68,STAIR CASE DOWN
-73,-48,-68,STAIR CASE DOWN
-71,-66,-71,TOILET
-70,-63,-72,TOILET
-71,-64,-72,TOILET
-71,-64,-74,TOILET
-68,-65,-70,TOILET
-39,-79,-54,CLASSROOM 102
-37,-78,-53,CLASSROOM 102
-39,-78,-57,CLASSROOM 102
-39,-80,-55,CLASSROOM 102
-37,-78,-57,CLASSROOM 102
-36,-86,-62,CLASSROOM 103
-36,-87,-61,CLASSROOM 103
-34,-89,-62,CLASSROOM 103
-36,-89,-60,CLASSROOM 103
-33,-88,-60,CLASSROOM 103
-29,-88,-49,COMPUTER GRAPHICS LAB
-30,-91,-51,COMPUTER GRAPHICS LAB
-28,-89,-52,COMPUTER GRAPHICS LAB
-32,-92,-51,COMPUTER GRAPHICS LAB
-31,-89,-48,COMPUTER GRAPHICS LAB
-35,-84,-54,SYSTEM SOFTWARE LAB
-31,-84,-53,SYSTEM SOFTWARE LAB
-33,-83,-57,SYSTEM SOFTWARE LAB
-35,-83,-55,SYSTEM SOFTWARE LAB
-33,-87,-55,SYSTEM SOFTWARE LAB
-35,-83,-57,ALGORITHM LAB
-38,-82,-56,ALGORITHM LAB
-37,-80,-60,ALGORITHM LAB
-36,-80,-56,ALGORITHM LAB
-37,-83,-58,ALGORITHM LAB
-41,-78,-50,DBMS LAB
-42,-78,-52,DBMS LAB
-39,-82,-54,DBMS LAB
-40,-80,-53,DBMS LAB
-42,-81,-50,DBMS LAB
-57,-74,-43,LIFT
-57,-70,-45,LIFT
-56,-71,-42,LIFT
-56,-72,-42,LIFT
-53,-71,-45,LIFT
-60,-59,-55,FACULTY ROOM
-61,-58,-54,FACULTY ROOM
-60,-57,-57,FACULTY ROOM
-63,-59,-57,FACULTY ROOM
-62,-60,-53,FACULTY ROOM
-63,-53,-58,DEPT COMPUTER SCIENCE
